State,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft,Year,Prison_population,GDP,Gun_number,Police_number
WEST VIRGINIA,1850326,302,4,42.7,35.2,235.5,2034.7,484.9,1447.3,102.5,2014,6896,69874.1,"221,847",NA
WEST VIRGINIA,1854304,300.3,3.3,59.8,35.1,226.7,2103.9,521.7,1478.9,103.3,2013,6824,70158.7,"248,952",4496
WISCONSIN,5742713,277.9,2.8,52,84.2,161.6,2188.7,424,1636,128.6,2013,22471,276189.5,"434,688",17989
ARIZONA,6731484,399.9,4.7,86.8,92.8,252.1,3197.5,647.1,2289.1,261.3,2014,42259,273677.1,"310,672",22817
CALIFORNIA,38802500,396.1,4.4,51.3,125.5,236.6,2441.1,522.3,1527.4,391.3,2014,136085,2312540.1,"1,474,616",118491
CONNECTICUT,3596677,236.9,2.4,37.6,87.8,125,1920.4,332.4,1418.1,169.9,2014,16636,237784.3,"270,297",10461
DISTRICT OF COLUMBIA,658893,1244.4,15.9,125,530.7,626.1,5182.5,526,4082.3,574.1,2014,NA,114910.5,512,5050
GEORGIA,10097343,377.3,5.7,51.6,123,218.4,3281.2,756.9,2258.4,266,2014,52949,465646,"484,580",26853
HAWAII,1419561,259.2,1.8,53.4,78,148.1,3050,547.9,2228.9,273.3,2014,5866,74529.3,"15,225",3776
ILLINOIS,12880580,370,5.3,56.2,118.8,213.7,2075.9,388.2,1552.2,135.5,2014,48278,735035.6,"1,344,096",34425
KANSAS,2904021,348.6,3.1,85.6,46.9,250,2735.2,545,1952.4,237.8,2014,9877,143425.4,"172,167",10249
KENTUCKY,4413457,211.6,3.6,52.6,75.6,99.8,2246.9,526.7,1577.1,143.2,2014,21657,179989.2,"2,492,184",9315
LOUISIANA,4649676,514.7,10.3,50.9,122.5,352.4,3458.8,824.5,2421.6,212.7,2014,38030,233675.8,"315,357",13567
MAINE,1330089,127.8,1.6,63.6,22.9,66.9,1986.4,378.2,1548.2,60.1,2014,2242,53418,"83,085",2815
NEVADA,2839099,635.6,6,82.8,209.7,372.1,2625.4,772.3,1494.3,358.7,2014,12537,129999.9,"116,735",8973
NEW YORK,19746227,381.8,3.1,47.3,121.8,229.4,1718.2,257.2,1381.4,79.7,2014,52518,1349268.1,"365,427",78535
OKLAHOMA,3878051,406,4.5,78.7,78.6,277,2990.7,760.9,1956.9,272.9,2014,27650,187739.1,"348,495",10155
PENNSYLVANIA,12787209,314.1,4.8,51.7,105.8,173.5,1931.7,357.5,1472.2,102,2014,50694,666494.4,"899,241",29408
RHODE ISLAND,1055173,219.2,2.4,58.2,50.1,132.5,2173.6,457.1,1542.8,173.7,2014,3359,52134.2,"20,400",3126
TEXAS,26956958,405.9,4.4,72.9,115.7,243.6,3019.4,627.8,2137.3,254.3,2014,166043,1523057.2,"1,465,992",60056
WASHINGTON,7061530,285.2,2.5,68.9,79.9,164.7,3706.1,783,2489.1,434,2014,18120,425762.5,"482,115",14566
WISCONSIN,5757564,290.3,2.9,49.4,88,170.4,2088.3,368.5,1547.6,172.3,2014,22597,282078.9,"334,308",18244
WYOMING,584153,195.5,2.7,51.4,9.1,153.9,1964.7,289.1,1572.4,103.2,2014,2383,38717.6,"63,063",1956
DISTRICT OF COLUMBIA,672228,1269.1,24.1,127.9,556.7,614.8,4676.2,442,3748.7,485.5,2015,NA,117238.4,742,5010
GEORGIA,10214860,378.3,6,54.1,119.9,220.8,3022.3,649.8,2113.3,259.2,2015,52193,481575.7,"566,946",26435
INDIANA,6619680,387.5,5.6,63.3,107.4,238.2,2596,519.8,1872,204.2,2015,27355,311600.7,"1,076,917",10717
MAINE,1329328,130.1,1.7,62.3,23.4,69.3,1830,352.4,1416.4,61.2,2015,2279,53780.5,"94,744",2837
MINNESOTA,5074064,110.6016794,2.187595584,2.089055243,25.34457587,80.98045275,576.3624582,66.77093549,476.6987567,29.14823305,2008,NA,285792.2,"277,175",13697
MINNESOTA,5094567,106.3682154,2.021761614,2.178791642,23.82930679,78.33835535,599.4425041,58.90588935,515.274409,21.65051515,2009,9986,275453.1,"285,130",13709
MINNESOTA,5237709,103.1748805,1.96650864,10.78715904,22.05162601,68.36958678,479.522631,40.26569632,413.3868453,24.13268855,2016,10592,319129.9,"651,599",1143
MINNESOTA,5489594,242.6,2.4,73,68.7,129.2,2222.1,351.6,1725.2,145.4,2015,10798,313086.2,"519,244",13917
MINNESOTA,5576606,238.3,2,42.8,64.9,128.6,2191.5,336.9,1675.7,178.9,2017,10708,325322.7,"683,544",14848
MINNESOTA,5611179,220.4,1.9,43.9,52.5,122.2,1993.8,288.4,1524.8,180.5,2018,10101,333919.5,"604,078",15264
MISSISSIPPI,2992333,275.8,8.7,69,76.7,150.3,2833.6,828.8,1863,141.8,2015,18911,100242.5,"252,372",4016
NEBRASKA,1896190,274.9,3.3,80.4,52.4,173.1,2241.1,338.7,1691.4,211,2015,5372,110325.7,"79,340",5241
NEW MEXICO,2085109,656.1,5.6,138.5,119.2,451.2,3697.4,819.4,2469.1,408.9,2015,7169,91200.8,"147,912",1419
NEW YORK,19795791,379.7,3.1,52.9,120.9,225,1604,223.7,1303,77.4,2015,51727,1372162.8,"346,048",81036
NORTH CAROLINA,10042802,347,5.1,46,87.9,227.3,2750.1,745.2,1871.1,133.8,2015,36617,469478.8,"531,876",34225
