State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,Population
NEW HAMPSHIRE,Under 18,"6,906",93,853,0,10,31,52,134,671,22,26,959,5,61,5,134,341,13,0,31,642,2,8,76,"1,036",304,211,0,"1,795",0,33,304,138,"1,032,522"
,Total all ages,"43,634",624,"3,165",5,69,150,400,437,"2,596",85,47,"5,595",202,924,29,481,"1,140",88,56,152,"3,266",5,165,"4,571","4,909","4,168","1,200",45,"12,512",0,33,304,,
NEW JERSEY,Under 18,"51,527","2,980","8,307",26,61,"1,461","1,432","1,503","6,335",233,236,"4,171",52,139,5,"1,038","3,110","1,422",30,302,"5,766",18,152,342,"2,560",0,"4,366",32,"7,958",0,"4,728","4,049",526,"8,355,142"
,Total all ages,"386,427","13,948","34,665",276,372,"4,371","8,929","6,419","26,932",917,397,"26,380","1,729","4,992",162,"4,027","6,914","5,059","1,453","1,527","52,749",158,"15,113","24,313","7,683",0,"23,314","1,897","151,567",0,"4,728","4,049",,
NEW MEXICO,Under 18,"9,587",440,"2,433",6,12,55,367,259,"2,056",73,45,"1,099",13,32,13,114,345,211,2,14,919,1,4,112,722,14,531,1,"2,230",0,64,273,54,"1,445,951"
,Total all ages,"78,500","3,464","9,003",71,129,417,"2,847","1,215","7,336",350,102,"6,563",246,506,167,732,770,619,219,151,"6,113",3,931,"9,741","3,389",746,"2,700",2,"32,066",32,64,273,,
NEW YORK4,Under 18,"40,142","2,497","10,946",34,61,"1,045","1,357","2,273","8,056",464,153,"4,022",148,270,5,905,"3,505",575,10,736,"5,141",7,319,216,995,0,"1,994",38,"7,813",0,0,0,562,"9,223,778"
,Total all ages,"300,683","13,320","48,915",273,543,"3,393","9,111","7,893","38,595","1,992",435,"28,925","3,488","7,259",203,"4,835","12,069","3,379",824,"3,887","52,945",86,"2,472","25,169","4,631",0,"13,505",968,"73,803",0,0,0,,
NORTH CAROLINA,Under 18,"40,840","2,119","11,202",49,43,864,"1,163","3,023","7,767",303,109,"6,315",41,385,91,755,"1,919","1,370",12,121,"3,174",3,101,517,"1,317",0,"3,890",2,"6,396",0,0,"1,110",288,"6,612,884"
,Total all ages,"413,895","18,852","60,398",578,520,"4,364","13,390","14,459","44,112","1,511",316,"49,545","2,396","19,035","1,723","5,263","7,886","7,434","1,408","1,362","36,571",138,"6,534","49,599","10,778",0,"14,976",195,"118,692",0,0,"1,110",,
NORTH DAKOTA,Under 18,"6,719",68,"1,229",0,15,4,49,100,"1,036",86,7,465,3,21,9,39,330,41,0,26,278,0,88,67,"1,204",1,797,0,"1,154",0,275,624,71,"580,591"
,Total all ages,"27,896",408,"2,975",3,45,25,335,281,"2,497",175,22,"1,897",75,655,35,139,584,166,3,95,"1,769",0,164,"4,003","5,582",630,"1,864",3,"5,950",0,275,624,,
OHIO,Under 18,"38,975","1,196","8,129",16,92,600,488,"1,479","6,204",335,111,"5,948",78,190,4,664,"1,705",592,5,217,"2,691",10,690,158,"2,269",50,"3,173",28,"8,821",15,"1,472",870,384,"6,866,208"
,Total all ages,"249,113","6,808","35,461",186,487,"2,615","3,520","6,211","27,928","1,081",241,"30,596","1,323","3,180",44,"3,622","4,496","2,999","1,266",964,"30,580",76,"6,705","19,088","12,815","4,459","20,493",65,"61,678",53,"1,472",870,,
OKLAHOMA,Under 18,"21,697",790,"5,216",19,40,201,530,"1,024","3,909",159,124,"1,411",24,55,88,429,577,323,1,69,"1,873",0,118,233,453,950,"1,006",0,"3,139",0,"2,227","2,715",296,"3,638,086"
,Total all ages,"161,466","5,956","17,029",160,316,831,"4,649","3,114","13,046",591,278,"10,180",831,"2,510",659,"2,261","1,562","2,131",412,720,"20,548",7,977,"18,980","3,013","25,426","3,401",0,"39,921",0,"2,227","2,715",,
OREGON,Under 18,"28,909",720,"7,179",13,35,212,460,813,"5,925",261,180,"2,203",25,105,5,70,"2,134",328,23,180,"2,303",1,10,161,"4,412",0,"1,466",0,"3,543",0,"2,006","2,035",152,"3,649,695"
,Total all ages,"147,653","4,844","27,202",95,276,"1,187","3,286","2,816","22,590","1,452",344,"15,447",986,"1,684",54,374,"5,418","1,777",752,"1,334","16,723",3,611,"17,015","19,287",0,"8,214",10,"21,877",0,"2,006","2,035",,
